32850 32848 32849 32768 32771 36003 36523 35779 
32853 32849 32850 32769 32767 34419 35183 35047 
32848 32849 32850 32769 32768 33352 34040 34246 
32849 32848 32847 32768 32768 32619 33116 33482 
32849 32849 32845 32767 32767 32143 32366 32772 
32847 32855 32850 32769 32767 31867 31836 32155 
32847 32848 32848 32769 32768 31685 31434 31642 
32848 32848 32846 32768 32769 31615 31173 31231 
32849 32848 32848 32766 32766 31573 31009 30910 
32845 32847 32848 32770 32767 31570 30895 30669 
32847 32848 32846 32766 32766 31586 30844 30485 
32846 32848 32847 32767 32766 31595 30823 30353 
32845 32846 32846 32768 32765 31620 30815 30277 
32846 32847 32847 32765 32768 31628 30805 30198 
32849 32848 32847 32767 32766 31654 30830 30173 
32847 32848 32847 32767 32767 31672 30842 30140 
32846 32848 32849 32770 32769 31682 30881 30140 
32850 32849 32843 32769 32769 31685 30878 30139 
32848 32851 32849 32768 32769 31694 30889 30131 
32847 32848 32849 32771 32768 31719 30909 30145 
32849 32848 32848 32770 32771 31727 30908 30137 
32848 32851 32848 32769 32769 31728 30942 30158 
32849 32849 32850 32770 32768 31723 30929 30158 
32848 32848 32848 32769 32769 31734 30945 30177 
32848 32848 32848 32768 32768 31721 30942 30174 
32847 32849 32849 32768 32768 31737 30946 30178 
32848 32848 32848 32768 32760 31735 30953 30178 
32850 32848 32849 32768 32770 31739 30945 30179 
32847 32849 32848 32768 32769 31748 30957 30183 
32848 32847 32850 32769 32768 31739 30959 30177 
32847 32848 32847 32768 32769 31757 30969 30197 
32848 32848 32843 32767 32769 31753 30969 30190 
32846 32848 32849 32769 32768 31765 30982 30210 
32848 32849 32847 32767 32767 31773 30984 30212 
32848 32848 32849 32767 32767 31782 31011 30219 
32846 32848 32846 32769 32766 31791 31020 30261 
32844 32845 32847 32765 32766 31804 31031 30253 
32846 32844 32845 32766 32765 31806 31053 30280 
32845 32846 32845 32766 32767 31811 31048 30276 
32845 32845 32848 32766 32766 31821 31085 30304 
32845 32847 32848 32768 32768 31822 31081 30316 
