32840 32840 32843 32766 
44738 44740 44738 44726 
44733 44734 44733 44721 
44737 44738 44736 44725 
44738 44739 44740 44727 
44737 44739 44737 44727 
44742 44741 44742 44728 
44736 44736 44735 44724 
44741 44742 44742 44730 
44744 44746 44744 44732 
44742 44741 44740 44728 
32845 32846 32846 32769 
32850 32850 32850 32775 
32849 32849 32848 32773 
32846 32846 32845 32769 
32844 32845 32846 32770 
32842 32842 32843 32767 
32845 32847 32847 32772 
32842 32841 32841 32765 
32837 32839 32837 32763 
32837 32840 32842 32764 
44739 44738 44738 44726 
44735 44734 44732 44721 
44735 44736 44734 44723 
44738 44740 44737 44727 
44739 44739 44739 44727 
44739 44739 44738 44728 
44736 44736 44736 44725 
44744 44743 44743 44730 
44747 44745 44745 44733 
44741 44741 44741 44729 
32844 32847 32847 32767 
32851 32851 32851 32774 
32849 32849 32849 32770 
32846 32847 32847 32767 
32847 32847 32847 32769 
32843 32844 32844 32766 
32847 32847 32848 32769 
32842 32842 32844 32763 
32841 32840 32842 32762 
32841 32842 32841 32763 
44738 44739 44736 44726 
44735 44735 44736 44724 
44736 44736 44737 44724 
44739 44740 44739 44726 
44739 44738 44739 44727 
44739 44741 44739 44728 
44735 44736 44736 44723 
44742 44742 44741 44729 
44747 44746 44746 44733 
44741 44742 44743 44728 
32849 32849 32848 32768 
32853 32853 32851 32774 
32850 32849 32850 32770 
32846 32848 32847 32765 
32847 32847 32848 32768 
32845 32845 32844 32765 
32847 32848 32849 32771 
32841 32842 32843 32765 
32839 32839 32841 32762 
32838 32839 32839 32767 
44738 44738 44738 44725 
44734 44736 44736 44722 
44735 44735 44737 44726 
44738 44737 44737 44727 
44739 44740 44738 44728 
44738 44741 44739 44727 
44734 44735 44736 44724 
44739 44739 44738 44729 
44745 44745 44746 44734 
44741 44741 44742 44730 
32845 32845 32845 32769 
32852 32852 32852 32778 
32848 32848 32849 32772 
32846 32846 32845 32771 
32844 32845 32847 32770 
32843 32844 32843 32768 
32849 32846 32847 32772 
32840 32839 32841 32764 
32839 32839 32841 32765 
32840 32840 32839 32764 
44739 44739 44737 44725 
44734 44733 44734 44722 
44736 44736 44737 44725 
44738 44740 44740 44728 
44737 44737 44736 44726 
44740 44740 44739 44730 
44735 44736 44736 44724 
44741 44742 44740 44728 
44745 44745 44744 44731 
44739 44741 44742 44730 
32847 32847 32847 32770 
32850 32850 32850 32772 
32852 32853 32850 32771 
32847 32848 32847 32767 
32846 32848 32849 32768 
32844 32845 32844 32764 
32849 32850 32847 32768 
32843 32843 32844 32761 
32838 32839 32840 32760 
32842 32843 32842 32763 
44741 44738 44739 44725 
44735 44736 44736 44722 
44736 44737 44737 44723 
44739 44740 44738 44727 
44741 44739 44738 44729 
44740 44740 44740 44729 
44737 44738 44736 44726 
44744 44742 44742 44729 
44746 44747 44745 44733 
44740 44740 44741 44729 
32846 32848 32847 32769 
32853 32852 32851 32773 
32850 32850 32850 32770 
32847 32848 32848 32769 
32849 32848 32848 32769 
32845 32845 32844 32766 
32846 32846 32846 32769 
32840 32840 32841 32763 
32838 32840 32839 32761 
32841 32840 32841 32764 
44739 44739 44740 44726 
44735 44735 44737 44723 
44736 44737 44736 44725 
44737 44737 44737 44725 
44738 44737 44738 44726 
44739 44741 44741 44727 
44736 44734 44734 44724 
44742 44743 44741 44729 
44746 44747 44746 44734 
44742 44741 44741 44729 
32846 32845 32844 32770 
32850 32851 32850 32776 
32848 32848 32849 32773 
32845 32845 32845 32768 
32846 32845 32845 32772 
32843 32843 32844 32769 
32847 32846 32847 32772 
32840 32840 32842 32765 
32839 32838 32839 32764 
32839 32839 32840 32765 
44738 44738 44736 44724 
44734 44734 44735 44721 
44738 44737 44736 44726 
44738 44739 44739 44726 
44740 44739 44739 44726 
44740 44739 44741 44730 
44736 44736 44735 44725 
44741 44741 44741 44730 
44745 44747 44745 44733 
44739 44742 44743 44730 
32846 32847 32846 32769 
32852 32851 32851 32773 
32850 32852 32849 32768 
32847 32847 32847 32766 
32845 32846 32846 32769 
32844 32844 32844 32765 
32849 32851 32849 32769 
32842 32841 32842 32763 
32840 32840 32843 32763 
32842 32842 32842 32762 
44737 44738 44738 44725 
44734 44734 44735 44722 
44737 44737 44736 44725 
44739 44740 44740 44725 
44740 44739 44739 44726 
44743 44740 44742 44730 
44737 44737 44737 44726 
44741 44741 44742 44729 
44745 44746 44745 44733 
44742 44742 44741 44731 
32848 32846 32848 32768 
32853 32853 32853 32773 
32850 32851 32850 32772 
32846 32847 32848 32770 
32847 32846 32848 32767 
32844 32843 32843 32765 
32847 32848 32847 32771 
32842 32843 32844 32764 
32837 32839 32839 32762 
32841 32843 32842 32767 
44738 44739 44739 44727 
44735 44735 44735 44723 
44737 44735 44736 44724 
44737 44739 44738 44727 
44737 44739 44739 44729 
44738 44739 44741 44727 
44737 44738 44737 44724 
44742 44741 44740 44731 
44744 44745 44745 44735 
44741 44741 44742 44731 
32844 32845 32845 32769 
32851 32851 32852 32775 
32847 32848 32846 32773 
32847 32846 32847 32770 
32846 32847 32845 32769 
32845 32844 32842 32768 
32846 32845 32847 32770 
32840 32842 32842 32767 
32839 32840 32838 32764 
32838 32840 32838 32763 
44738 44738 44741 44726 
44735 44736 44735 44722 
44737 44737 44736 44724 
44737 44738 44736 44726 
44736 44738 44738 44726 
44740 44741 44740 44729 
44738 44736 44737 44724 
44743 44742 44743 44730 
44743 44745 44747 44734 
44742 44742 44742 44729 
32846 32845 32845 32767 
32851 32850 32851 32774 
32851 32850 32850 32771 
32846 32847 32848 32768 
32847 32849 32846 32768 
32845 32845 32845 32766 
32849 32849 32850 32768 
32841 32841 32841 32762 
32839 32839 32840 32762 
32841 32842 32842 32763 
44737 44738 44739 44724 
44735 44734 44738 44722 
44739 44737 44737 44725 
44739 44741 44739 44727 
44739 44740 44739 44726 
44741 44740 44740 44730 
44736 44735 44737 44723 
44742 44743 44740 44728 
44745 44744 44745 44733 
44744 44743 44742 44733 
32847 32848 32848 32768 
32851 32853 32851 32772 
32851 32848 32850 32769 
32846 32847 32847 32769 
32846 32847 32848 32768 
32843 32844 32843 32765 
32849 32847 32847 32771 
32844 32842 32843 32766 
32840 32841 32840 32763 
32841 32840 32841 32763 
44739 44738 44738 44725 
44735 44734 44736 44722 
